n,b_z
1,inf
2,inf
3,inf
4,inf
5,inf
6,inf
7,inf
8,inf
9,inf
10,inf
11,inf
12,inf
13,inf
14,inf
15,inf
16,inf
17,inf
18,inf
19,inf
20,inf
21,inf
22,inf
23,inf
24,inf
25,inf
26,inf
27,inf
28,inf
29,inf
30,inf
31,inf
32,inf
33,inf
34,inf
35,inf
36,inf
37,inf
38,inf
39,inf
40,inf
41,inf
42,inf
43,inf
44,inf
45,inf
46,inf
47,inf
48,inf
49,inf
50,inf
51,inf
52,inf
53,inf
54,inf
55,inf
56,inf
57,inf
58,inf
59,inf
60,inf
61,inf
62,inf
63,inf
64,inf
65,inf
66,inf
67,inf
68,inf
69,inf
70,inf
71,inf
72,inf
73,inf
74,inf
75,inf
76,inf
77,inf
78,inf
79,inf
80,inf
81,inf
82,inf
83,inf
84,inf
85,inf
86,inf
87,inf
88,inf
89,inf
90,inf
91,inf
92,inf
93,inf
94,inf
95,inf
96,inf
97,inf
98,inf
99,inf
100,inf
101,inf
102,inf
103,inf
104,inf
105,inf
106,inf
107,inf
108,inf
109,inf
110,inf
111,inf
112,inf
113,inf
114,inf
115,inf
116,inf
117,inf
118,inf
119,inf
120,inf
121,inf
122,inf
123,inf
124,inf
125,inf
126,inf
127,inf
128,inf
129,inf
130,inf
131,inf
132,inf
133,inf
134,inf
135,inf
136,inf
137,inf
138,8.252140
139,inf
140,inf
141,inf
142,inf
143,8.201453
144,inf
145,8.160011
146,8.129455
147,8.114111
148,8.097422
149,8.091286
150,8.038584
151,8.014833
152,7.998783
153,7.969711
154,7.940115
155,7.913440
156,7.900214
157,7.875625
158,7.845027
159,7.818049
160,7.798809
161,7.775315
162,7.749604
163,7.726018
164,7.703939
165,7.680790
166,7.657244
167,7.635241
168,7.611788
169,7.589893
170,7.567290
171,7.546045
172,7.523790
173,7.502262
174,7.481366
175,7.459760
176,7.438613
177,7.417926
178,7.397149
179,7.376931
180,7.356412
181,7.336193
182,7.316309
183,7.296383
184,7.276787
185,7.257236
186,7.237922
187,7.218656
188,7.199604
189,7.180747
190,7.161974
191,7.143318
192,7.124922
193,7.106555
194,7.088396
195,7.070336
196,7.052432
197,7.034661
198,7.017046
199,6.999520
200,6.982152
201,6.964904
202,6.947781
203,6.930797
204,6.913916
205,6.897178
206,6.880555
207,6.864045
208,6.847656
209,6.831387
210,6.815232
211,6.799189
212,6.783261
213,6.767444
214,6.751738
215,6.736137
216,6.720648
217,6.705264
218,6.689982
219,6.674810
220,6.659734
221,6.644765
222,6.629895
223,6.615122
224,6.600450
225,6.585875
226,6.571394
227,6.557010
228,6.542719
229,6.528522
230,6.514416
231,6.500401
232,6.486490
233,6.481660
234,6.470161
235,6.457527
236,6.444536
237,6.431419
238,6.418270
239,6.405131
240,6.392029
241,6.378976
242,6.365981
243,6.353049
244,6.340184
245,6.327388
246,6.314663
247,6.302007
248,6.289424
249,6.276912
250,6.264471
251,6.252102
252,6.239804
253,6.227576
254,6.215419
255,6.203331
256,6.191312
257,6.179362
258,6.167481
259,6.155667
260,6.143920
261,6.132239
262,6.120624
263,6.109075
264,6.097591
265,6.086170
266,6.074814
267,6.063520
268,6.052289
269,6.041119
270,6.030012
271,6.018965
272,6.007978
273,5.997051
274,5.986183
275,5.975374
276,5.964623
277,5.953930
278,5.943299
279,5.941142
280,5.932765
281,5.923299
282,5.913467
283,5.903487
284,5.893446
285,5.883389
286,5.873338
287,5.863307
288,5.853304
289,5.843336
290,5.833406
291,5.823516
292,5.813669
293,5.803865
294,5.794106
295,5.784391
296,5.774721
297,5.765097
298,5.755519
299,5.745986
300,5.736498
301,5.727056
302,5.717658
303,5.708306
304,5.698998
305,5.689735
306,5.680516
307,5.671341
308,5.662210
309,5.653122
310,5.644077
311,5.635075
312,5.626115
313,5.617198
314,5.608322
315,5.599489
316,5.590696
317,5.581945
318,5.573234
319,5.564563
320,5.555933
321,5.547343
322,5.538792
323,5.530304
324,5.529746
325,5.523353
326,5.515920
327,5.508129
328,5.500182
329,5.492163
330,5.484113
331,5.476054
332,5.467999
333,5.459957
334,5.451934
335,5.443933
336,5.435957
337,5.428007
338,5.420086
339,5.412194
340,5.404332
341,5.396501
342,5.388700
343,5.380930
344,5.373191
345,5.365483
346,5.357807
347,5.350162
348,5.342549
349,5.334967
350,5.327415
351,5.319895
352,5.312406
353,5.304947
354,5.297519
355,5.290122
356,5.282755
357,5.275418
358,5.268111
359,5.260834
360,5.253587
361,5.246369
362,5.239181
363,5.232021
364,5.224891
365,5.217789
366,5.210734
367,5.211191
368,5.206125
369,5.200065
370,5.193655
371,5.187088
372,5.180444
373,5.173760
374,5.167060
375,5.160355
376,5.153654
377,5.146963
378,5.140284
379,5.133622
380,5.126976
381,5.120350
382,5.113744
383,5.107159
384,5.100596
385,5.094054
386,5.087534
387,5.081038
388,5.074563
389,5.068112
390,5.061683
391,5.055278
392,5.048895
393,5.042535
394,5.036198
395,5.029885
396,5.023594
397,5.017325
398,5.011080
399,5.004857
400,4.998657
401,4.992479
402,4.986323
403,4.980190
404,4.974079
405,4.967990
406,4.961923
407,4.955877
408,4.949861
409,4.951010
410,4.946899
411,4.941835
412,4.936431
413,4.930872
414,4.925232
415,4.919550
416,4.913845
417,4.908131
418,4.902415
419,4.896703
420,4.890998
421,4.885302
422,4.879618
423,4.873948
424,4.868291
425,4.862650
426,4.857024
427,4.851414
428,4.845821
429,4.840244
430,4.834685
431,4.829142
432,4.823617
433,4.818109
434,4.812619
435,4.807147
436,4.801691
437,4.796254
438,4.790834
439,4.785431
440,4.780046
441,4.774679
442,4.769329
443,4.763996
444,4.758680
445,4.753382
446,4.748101
447,4.742837
448,4.737591
449,4.732361
450,4.727155
451,4.728798
452,4.725413
453,4.721114
454,4.716486
455,4.711704
456,4.706842
457,4.701934
458,4.697002
459,4.692057
460,4.687106
461,4.682154
462,4.677206
463,4.672263
464,4.667328
465,4.662402
466,4.657486
467,4.652581
468,4.647688
469,4.642806
470,4.637937
471,4.633081
472,4.628238
473,4.623407
474,4.618591
475,4.613787
476,4.608998
477,4.604221
478,4.599459
479,4.594710
480,4.589975
481,4.585254
482,4.580547
483,4.575853
484,4.571174
485,4.566507
486,4.561855
487,4.557216
488,4.552591
489,4.547980
490,4.543382
491,4.538797
492,4.534237
493,4.536240
494,4.533422
495,4.529725
496,4.525709
497,4.521543
498,4.517296
499,4.513004
500,4.508684
501,4.504349
502,4.500006
503,4.495660
504,4.491314
505,4.486972
506,4.482633
507,4.478301
508,4.473976
509,4.469659
510,4.465350
511,4.461051
512,4.456761
513,4.452481
514,4.448211
515,4.443951
516,4.439702
517,4.435463
518,4.431235
519,4.427018
520,4.422812
521,4.418616
522,4.414432
523,4.410259
524,4.406096
525,4.401945
526,4.397805
527,4.393675
528,4.389557
529,4.385450
530,4.381354
531,4.377269
532,4.373195
533,4.369133
534,4.371402
535,4.369029
536,4.365806
537,4.362273
538,4.358594
539,4.354834
540,4.351029
541,4.347195
542,4.343344
543,4.339484
544,4.335618
545,4.331751
546,4.327885
547,4.324021
548,4.320161
549,4.316306
550,4.312457
551,4.308614
552,4.304778
553,4.300950
554,4.297129
555,4.293317
556,4.289512
557,4.285716
558,4.281928
559,4.278149
560,4.274378
561,4.270617
562,4.266864
563,4.263120
564,4.259385
565,4.255659
566,4.251942
567,4.248235
568,4.244536
569,4.240846
570,4.237166
571,4.233494
572,4.229832
573,4.226178
574,4.222534
575,4.218908
576,4.221377
577,4.219371
578,4.216544
579,4.213416
580,4.210146
581,4.206797
582,4.203402
583,4.199978
584,4.196536
585,4.193083
586,4.189624
587,4.186162
588,4.182699
589,4.179237
590,4.175777
591,4.172321
592,4.168868
593,4.165421
594,4.161979
595,4.158542
596,4.155112
597,4.151688
598,4.148270
599,4.144859
600,4.141455
601,4.138058
602,4.134668
603,4.131285
604,4.127909
605,4.124541
606,4.121180
607,4.117826
608,4.114480
609,4.111141
610,4.107810
611,4.104486
612,4.101170
613,4.097862
614,4.094561
615,4.091267
616,4.087985
617,4.090606
618,4.088897
619,4.086393
620,4.083596
621,4.080660
622,4.077646
623,4.074586
624,4.071497
625,4.068389
626,4.065270
627,4.062143
628,4.059012
629,4.055879
630,4.052746
631,4.049614
632,4.046485
633,4.043358
634,4.040234
635,4.037115
636,4.034000
637,4.030890
638,4.027785
639,4.024685
640,4.021590
641,4.018501
642,4.015418
643,4.012340
644,4.009269
645,4.006203
646,4.003144
647,4.000091
648,3.997044
649,3.994003
650,3.990968
651,3.987940
652,3.984918
653,3.981902
654,3.978892
655,3.975889
656,3.972892
657,3.969902
658,3.972639
659,3.971179
660,3.968945
661,3.966428
662,3.963774
663,3.961043
664,3.958267
665,3.955462
666,3.952638
667,3.949802
668,3.946957
669,3.944107
670,3.941255
671,3.938401
672,3.935548
673,3.932696
674,3.929846
675,3.926998
676,3.924153
677,3.921312
678,3.918474
679,3.915641
680,3.912812
681,3.909987
682,3.907166
683,3.904351
684,3.901540
685,3.898734
686,3.895933
687,3.893138
688,3.890347
689,3.887562
690,3.884781
691,3.882006
692,3.879237
693,3.876473
694,3.873714
695,3.870960
696,3.868212
697,3.865469
698,3.862732
699,3.860009
700,3.862832
701,3.861583
702,3.859585
703,3.857310
704,3.854902
705,3.852419
706,3.849891
707,3.847334
708,3.844758
709,3.842169
710,3.839572
711,3.836969
712,3.834362
713,3.831754
714,3.829145
715,3.826537
716,3.823929
717,3.821324
718,3.818720
719,3.816120
720,3.813522
721,3.810927
722,3.808336
723,3.805748
724,3.803164
725,3.800584
726,3.798008
727,3.795437
728,3.792869
729,3.790306
730,3.787747
731,3.785192
732,3.782642
733,3.780096
734,3.777555
735,3.775018
736,3.772486
737,3.769958
738,3.767435
739,3.764917
740,3.762407
741,3.765298
742,3.764228
743,3.762428
744,3.760358
745,3.758157
746,3.755883
747,3.753565
748,3.751218
749,3.748851
750,3.746471
751,3.744082
752,3.741688
753,3.739289
754,3.736888
755,3.734486
756,3.732083
757,3.729681
758,3.727281
759,3.724881
760,3.722484
761,3.720089
762,3.717697
763,3.715307
764,3.712920
765,3.710537
766,3.708156
767,3.705779
768,3.703406
769,3.701036
770,3.698669
771,3.696306
772,3.693947
773,3.691592
774,3.689241
775,3.686893
776,3.684550
777,3.682210
778,3.679874
779,3.677542
780,3.675214
781,3.672891
782,3.675832
783,3.674915
784,3.673286
785,3.671394
786,3.669374
787,3.667282
788,3.665145
789,3.662981
790,3.660797
791,3.658599
792,3.656392
793,3.654179
794,3.651962
795,3.649742
796,3.647520
797,3.645297
798,3.643075
799,3.640853
800,3.638632
801,3.636412
802,3.634195
803,3.631979
804,3.629766
805,3.627554
806,3.625346
807,3.623140
808,3.620937
809,3.618737
810,3.616540
811,3.614346
812,3.612155
813,3.609968
814,3.607783
815,3.605602
816,3.603424
817,3.601250
818,3.599079
819,3.596911
820,3.594747
821,3.592587
822,3.590429
823,3.588283
824,3.591258
825,3.590475
826,3.588998
827,3.587264
828,3.585405
829,3.583475
830,3.581502
831,3.579501
832,3.577480
833,3.575446
834,3.573403
835,3.571353
836,3.569298
837,3.567240
838,3.565180
839,3.563119
840,3.561058
841,3.558997
842,3.556937
843,3.554877
844,3.552819
845,3.550762
846,3.548708
847,3.546655
848,3.544604
849,3.542556
850,3.540509
851,3.538466
852,3.536425
853,3.534386
854,3.532350
855,3.530317
856,3.528287
857,3.526260
858,3.524235
859,3.522214
860,3.520195
861,3.518179
862,3.516167
863,3.514157
864,3.512152
865,3.515156
866,3.514488
867,3.513142
868,3.511545
869,3.509825
870,3.508036
871,3.506204
872,3.504344
873,3.502464
874,3.500572
875,3.498670
876,3.496760
877,3.494846
878,3.492929
879,3.491009
880,3.489088
881,3.487166
882,3.485244
883,3.483323
884,3.481402
885,3.479481
886,3.477562
887,3.475645
888,3.473729
889,3.471815
890,3.469902
891,3.467992
892,3.466084
893,3.464178
894,3.462274
895,3.460372
896,3.458473
897,3.456576
898,3.454682
899,3.452790
900,3.450901
901,3.449014
902,3.447130
903,3.445249
904,3.443370
905,3.441493
906,3.439627
907,3.442646
908,3.442081
909,3.440852
910,3.439377
911,3.437783
912,3.436121
913,3.434416
914,3.432684
915,3.430933
916,3.429169
917,3.427395
918,3.425613
919,3.423827
920,3.422037
921,3.420245
922,3.418451
923,3.416656
924,3.414860
925,3.413065
926,3.411270
927,3.409475
928,3.407681
929,3.405889
930,3.404098
931,3.402308
932,3.400519
933,3.398733
934,3.396948
935,3.395165
936,3.393384
937,3.391605
938,3.389828
939,3.388053
940,3.386280
941,3.384509
942,3.382741
943,3.380975
944,3.379211
945,3.377449
946,3.375690
947,3.373934
948,3.376967
949,3.376490
950,3.375364
951,3.373997
952,3.372513
953,3.370962
954,3.369369
955,3.367749
956,3.366110
957,3.364458
958,3.362795
959,3.361126
960,3.359452
961,3.357773
962,3.356092
963,3.354409
964,3.352725
965,3.351040
966,3.349355
967,3.347670
968,3.345986
969,3.344302
970,3.342618
971,3.340936
972,3.339255
973,3.337575
974,3.335897
975,3.334220
976,3.332545
977,3.330871
978,3.329199
979,3.327529
980,3.325861
981,3.324194
982,3.322530
983,3.320867
984,3.319207
985,3.317548
986,3.315891
987,3.314237
988,3.312584
989,3.310939
990,3.313975
991,3.313578
992,3.312545
993,3.311276
994,3.309891
995,3.308441
996,3.306951
997,3.305433
998,3.303897
999,3.302347
1000,3.300787
1001,3.299220
1002,3.297648
1003,3.296072
1004,3.294494
1005,3.292913
1006,3.291330
1007,3.289747
1008,3.288163
1009,3.286580
1010,3.284996
1011,3.283413
1012,3.281830
1013,3.280248
1014,3.278667
1015,3.277087
1016,3.275509
1017,3.273931
1018,3.272355
1019,3.270780
1020,3.269207
1021,3.267635
1022,3.266065
1023,3.264497
1024,3.262930
1025,3.261365
1026,3.259802
1027,3.258240
1028,3.256680
1029,3.255122
1030,3.253566
1031,3.252019
1032,3.255055
1033,3.254728
1034,3.253779
1035,3.252598
1036,3.251303
1037,3.249945
1038,3.248546
1039,3.247120
1040,3.245676
1041,3.244219
1042,3.242752
1043,3.241278
1044,3.239798
1045,3.238314
1046,3.236828
1047,3.235339
1048,3.233848
1049,3.232357
1050,3.230865
1051,3.229372
1052,3.227880
1053,3.226387
1054,3.224896
1055,3.223404
1056,3.221914
1057,3.220424
1058,3.218935
1059,3.217448
1060,3.215961
1061,3.214476
1062,3.212992
1063,3.211509
1064,3.210028
1065,3.208548
1066,3.207069
1067,3.205592
1068,3.204117
1069,3.202643
1070,3.201171
1071,3.199700
1072,3.198231
1073,3.196772
1074,3.199805
1075,3.199541
1076,3.198666
1077,3.197564
1078,3.196351
1079,3.195075
1080,3.193760
1081,3.192417
1082,3.191057
1083,3.189683
1084,3.188300
1085,3.186909
1086,3.185513
1087,3.184113
1088,3.182710
1089,3.181304
1090,3.179897
1091,3.178489
1092,3.177079
1093,3.175669
1094,3.174260
1095,3.172850
1096,3.171440
1097,3.170031
1098,3.168622
1099,3.167214
1100,3.165807
1101,3.164401
1102,3.162995
1103,3.161591
1104,3.160188
1105,3.158786
1106,3.157385
1107,3.155985
1108,3.154587
1109,3.153190
1110,3.151794
1111,3.150400
1112,3.149007
1113,3.147616
1114,3.146226
1115,3.149257
1116,3.149049
1117,3.148242
1118,3.147211
1119,3.146070
1120,3.144868
1121,3.143626
1122,3.142358
1123,3.141072
1124,3.139773
1125,3.138464
1126,3.137148
1127,3.135826
1128,3.134501
1129,3.133171
1130,3.131840
1131,3.130507
1132,3.129172
1133,3.127837
